,name,short_name,mnemnoic,category,sector,second_sector,org_id
189,crowder strategies and solutions,crowder strategies and solutions,,consulting,other,,3ioGRMzVnnUn
190,csis,csis,,think tank,national security,,BAPEfimjqyyu
191,csra international,csra international,,consulting,defense,intelligence,7iTgjpfkazRN
192,cubic,cubic,,contractor,defense,transportation,7MQx8in8Qoqe
193,cunningham center for leadership development,cunningham center for leadership development,,university,education,,7WVsYFQkSxYu
194,"cylance, inc.",,,commercial,technology,defense,4gDHWAy7YVAk
195,cypress international,cypress international,,consulting,defense,,8BSy25HK7iBf
196,dare to excel,dare to excel,,consulting,other,,5QNUoQN4Sj6o
197,datapath,datapath,,contractor,defense,,3UVexgEvse4a
198,davison consultants,davison consultants,,consulting,other,,4kS7h3URK3wb
199,dayton,dayton,,consulting,other,,4c5iyoZG6cFo
200,dayton aerospace,dayton aerospace,,contractor,defense,aerospace,7J8oQ8c78GeJ
201,dcb associates,dcb associates,,consulting,other,,7dsZBVkdBudD
202,defense advisory commission on women in services,defense advisory commission on women in services,,advisory board-gov,government,,6ynyezUAjKNN
203,defense policy board,defense policy board,,advisory board-gov,national security,,48smpKA6xKCc
204,defense sciences board,defense sciences board,,advisory board-gov,national security,,87dW56jGp4n5
205,defense transformation institute,defense transformation institute,,consulting,defense,,7FM4xZzjDCiu
206,defense venture group,defense venture group,,manufacturing,defense,,7cGTPJSDVfrC
207,deh management consulting,deh management consulting,,consulting,other,,3viDXSPPWur7
208,delta airlines,delta airlines,,commercial,transportation,,7sbJEZidCaeF
209,delta defense corp,delta defense corp,,consulting,other,,4SdKsMbqdWqu
210,demars,demars,,consulting,other,,6jKXXXxU382w
211,detica,detica,,contractor,intelligence,defense,5SyRBkZPSZvw
212,dfi,dfi,,consulting,government,,84TveDWRW7dA
213,"diamondback tactical, lllp","diamondback tactical, lllp",,manufacturing,defense,,3QGdYCh7wqxU
214,dianassociates,dianassociates,,commercial,healthcare,technology,48NDGLJwabst
215,digital fusion solutions,digital fusion solutions,,contractor,defense,,72nHbiqwbgqY
216,dimensions internation,dimensions internation,,contractor,defense,,86Hd5v9q5tmv
217,director of,director of,,commercial,,,5Gxde3ohwKGP
218,dla,dla,,government,defense,,4aqTmEnH7E3g
219,doss aviation,doss aviation,,contractor,defense,aerospace,4hpNNGwC6UuR
220,draper laboratories,draper laboratories,,commercial,defense,technology,6d6biimojg9M
221,drs technologies,drs technologies,,contractor,defense,telecommunication,cy6dMnQ8AEui
222,durango group,durango group,,contractor,defense,aerospace,3eeUAGyNsmcv
223,duratek,,,contractor,energy,defense,3MaBh5JCqAKp
224,durham western heritage museum,durham western heritage museum,,"ngo, state or local",education,,752BNk4L3RuN
225,dynamics research corp,dynamics research corp,,contractor,defense,,3A5s8dTbigmU
226,dyncorp,dyncorp,,contractor,defense,,8PBXrvDVWwYQ
227,eads north america,eads north america,,contractor,defense,aerospace,5BkfyakYxQKB
228,eagle limited,eagle limited,,consulting,other,,3onzpuFdgSSB
229,eagle management solutions,eagle management solutions,,consulting,other,,5GdZUysJQiLr
230,edmonds enterprise services,edmonds enterprise services,,contractor,defense,,3jdmQuPM4qT9
231,edo,edo,,contractor,defense,,6QekhkjLyS5n
232,efficient energy advisors,efficient energy advisors,,consulting,energy,,63JNazDftwuS
233,eid passport,eid passport,,commercial,technology,defense,3tCNyxzofGyM
234,elabs,elabs,,commercial,technology,,zqArzRJTsrrZ
235,electronic warfare associates,electronic warfare associates,,contractor,defense,technology,7emAnpnMZRaz
236,ems board,ems board,,commercial,technology,,73UczT9JgD67
237,energy security leadership council,,,think tank ,energy,,6Bbe4HxYpnmC
238,engility,engility,,contractor,defense,technology,5WCQJP4bufmM
239,engineered support systems,engineered support systems,,contractor,defense,,4a9SJxJyKM5S
240,engineering and management executives,engineering and management executives,,consulting,other,,7oMrycprtoXd
241,enterprise federal savings bank,enterprise federal savings bank,,bank,finance,,4ZeVrKMv9cSb
242,enterra solutions,enterra solutions,,consulting,technology,,6JQi7ZWwKwiv
243,estee lauder,estee lauder,,commercial,manufacturing,,6bjMbNqyvhLp
244,esterline,esterline,,manufacturing,defense,aerospace,37FQj6e6E5QM
245,excelsior college,excelsior college,,university,education,,55wXZVoffDsr
246,exelon,exelon,,commercial,energy,,yVDTxeWHB98F
247,eytchison ronald,eytchison ronald,,consulting,other,,ajqmBqKf654g
248,falcon communications,falcon communications,,commercial,telecommunication,,t5FxcdYH8Eah
249,falcon foundation,falcon foundation,,ngo state or local,philanthopy,,7qEFggk28uMR
250,falken industries,falken industries,,commercial,other,,7YoATbCfos9c
251,fast search and transfer,fast search and transfer,,commercial,technology,information technology,3qNQuZXYuuvr
252,federal technology center,federal technology center,,commercial,,,7UTcpXM8q8V4
253,fedvet,fedvet,,contractor,defense,healthcare,7KWyfsLdTBW7
254,finmeccania,finmeccania,,contractor,defense,aerospace,5vtbwmCqoD2N
255,first energy,first energy,,commercial,energy,,4Q9RrZLq4H2k
